Results
tolerance | majority        | speed-ind     | toggle
0.20      | 0.001305344762  | 0.0291911003  | 0.07038608663
0.25      | 0.002453363152  | 0.07318766954 | 0.08001999633
0.30      | 0.002143780977  | 0.188189723   | 0.1039514362
0.35      | 0.00614008905   | 0.1603816091  | 0.2315218211
0.40      | 0.006026272635  | 0.1482811183  | 0.2140336699
0.45      | 0.006138649094  | 0.1470030393  | 0.2459799765
0.50      | 0.007518941557  | 0.2791356316  | 0.2230133141
0.55      | 0.01084588519   | 0.308515096   | 0.2463700158
0.60      | 0.0149490905    | 0.3146735057  | 0.4792942312
0.65      | 0.0155160164    | 0.3120229424  | 0.4744124959
0.70      | 0.0142515022    | 0.3083532564  | 0.4701229831
0.75      | 0.0129137536    | 0.2734091978  | 0.4189413926
0.80      | 0.01299945386   | 0.2751005182  | 0.4195006419
0.85      | 0.01696034223   | 0.2580526951  | 0.3360747115
0.90      | 0.01766635265   | 0.2584110635  | 0.3357933312
0.95      | 0.01807570789   | 0.2655804684  | 0.344663888
1.00      | 0.007167327219  | 0.414399965   | 0.3176865782
